post_id	text	date
1	✨	2016-05-28 16:36:30
2		2016-05-13 15:45:30
3	Екатеринбург , встречай, мы едем! 😍☝️💥 ЧР 2016 🏆 @ Romazan Ice Sports Palace	2016-05-07 07:18:16
4	И спорим , что мы не сможем не спорить	2016-05-06 13:48:08
5		2016-05-03 06:07:44
6	http://ask.fm/JenyN 💁🏼❓	2016-05-02 21:20:27
7		2016-05-01 20:37:58
8	💠💠💠	2016-04-28 20:08:30
9	Твое психическое и физическое здоровье важнее всего. Экзамены можно пересдать. Твою жизнь — нет.	2016-04-24 16:10:32
10	🇷🇺❣	2016-04-18 10:08:18
11	"🌞 @ Кафе-бар "" Слон"""	2016-04-11 10:44:42
12		2016-04-02 16:50:18
13	💪	2016-03-29 10:08:50
14		2016-03-27 20:31:01
15		2016-03-25 13:02:42
16	Лееето хочу 🏞😍	2016-03-19 18:27:58
17		2016-03-16 13:44:24
18		2016-03-13 22:17:17
19	🌼	2016-03-08 21:09:04
20		2016-03-05 20:09:24
21	Занимайся собой и используй жизнь по назначению.✔️	2016-02-29 17:01:35
22	Спасиииибо😻 счастью нет предела 😍✨	2016-02-14 16:32:26
23	🙈	2016-02-10 21:18:30
24		2016-02-09 11:59:14
25	⚜⚜⚜	2016-02-01 21:16:13
26		2016-01-25 15:31:19
27	💁🏽🙌	2016-01-21 20:31:37
28	photo : [id21774168|Гарик Жало]	2016-01-18 18:33:28
29		2016-01-17 22:31:31
30	С моей самой красивой именинницей 😻С Твоим Днем, Мамочка, ты у меня самая-самая лучшая ❤️	2016-01-08 21:48:09
31	👄	2015-12-28 20:59:14
32		2015-12-27 20:31:35
33		2015-12-25 20:17:04
34	И что тревожило, теперь не беспокоит. Как будто снегом замело.	2015-12-23 15:02:34
35	жизнь сама по себе является прекрасной сказкой 🎄✨☺️	2015-12-21 19:27:12
36	🙃	2015-12-18 19:57:30
37	👗	2015-12-16 19:41:58
38	🔲С какого возраста начинаешь просыпаться усталым?	2015-12-14 10:35:27
39	Привет из Че 😉❣ @ Chelyabinsk, Russia	2015-12-09 14:53:08
40	Человеку всегда нужно иметь рядом кого-нибудь, с кем он может быть самим собой.	2015-11-18 20:36:14
41		2015-11-17 15:50:20
42		2015-11-11 20:51:40
43	Чемпионат России по тайскому боксу 2015 🇷🇺🏆💪🏽	2015-11-10 14:47:39
44		2015-11-08 19:30:28
45		2015-10-26 07:17:07
46	😼	2015-10-15 17:12:27
47	Чем больше нам дано, тем больше мы желаем.	2015-10-13 12:56:57
48		2015-10-06 11:22:24
49		2015-10-03 22:50:00
50		2015-10-03 20:15:58
51	Здравствуйте , выходныыыые ☺️✨ @ Chelyabinsk, Russia	2015-10-02 22:19:48
52		2015-10-01 18:11:22
53		2015-09-29 19:29:01
54	✨	2015-09-22 22:00:04
55	😌💪🏽 @ Куранты	2015-09-14 10:36:04
56		2015-09-05 21:36:26
57	Сезон тренировок официально открыт 😏💪🏽 с новыми силами к новым победам ☝🏼️✨	2015-09-04 15:59:13
58	💋 детка 👯 @ Arena Metallurg	2015-09-01 20:41:44
59	"🌹 @ Аквапарк ""Водопад Чудес"". Магнитогорск"	2015-08-28 16:36:17
60	А у нас сегодня ветрено 😅	2015-08-23 16:00:41
61		2015-08-20 17:34:42
62		2015-08-12 11:19:38
63		2015-08-11 14:42:29
64	☺️ @ Abzakovo, Beloretsky District, Republic of Bashkortostan	2015-08-05 06:44:53
65		2015-08-03 19:36:43
66		2015-07-24 22:20:42
67		2015-07-24 20:55:26
68		2015-07-22 18:26:19
69		2015-07-20 20:40:32
70		2015-07-20 19:47:05
71		2015-07-12 10:58:25
72	🎧	2015-07-10 20:07:24
73		2015-07-08 13:34:06
74	А ей бы - все стихии собрать, все стихи дописать	2015-07-07 21:55:28
75	Задай мне вопрос | ask.fm/JenyN	2015-07-04 15:36:02
76		2015-06-21 21:48:04
77		2015-06-18 21:51:16
78		2015-06-17 11:46:19
79	♥️	2015-06-17 00:16:35
80		2015-06-16 22:02:10
81	Фото: @timagrid	2015-06-14 19:46:05
82	Фото: @timagrid	2015-06-14 15:43:23
83	...💭	2015-06-10 21:10:18
84		2015-05-27 21:18:08
85		2015-05-22 23:48:35
86	#classic#stars#cheer#team @ Moscow, Russia	2015-05-16 23:50:14
